"customer_name","total_purchases","age_customer","age_group"
"Hobie","14",24,"Young Adults"
"Burch","12",33,"Young Adults"
"Sam","12",25,"Young Adults"
"Cale","11",33,"Young Adults"
"Conrade","10",40,"Middle-aged Adult"
"Rori","10",32,"Young Adults"
"Bert","9",38,"Middle-aged Adult"
"Torr","9",23,"Young Adults"
"Bogart","8",29,"Young Adults"
"Harlin","8",62,"Senior Adults"
"Marin","8",23,"Young Adults"
"Cordey","8",16,"Teenagers"
"Isaac","8",25,"Young Adults"
"Ronnie","8",29,"Young Adults"
"Ariella","7",23,"Young Adults"
"Billie","7",21,"Teenagers"
"Josie","7",35,"Middle-aged Adult"
"Shoya","7",32,"Young Adults"
"Gannon","7",28,"Young Adults"
"Lianne","7",23,"Young Adults"
"Karrah","7",28,"Young Adults"
"Brandais","7",33,"Young Adults"
"Chickie","7",38,"Middle-aged Adult"
"Gearard","7",22,"Teenagers"
"Lindi","7",33,"Young Adults"
"Merwyn","7",41,"Middle-aged Adult"
"Nissa","7",28,"Young Adults"
"Merle","6",24,"Young Adults"
"Saidee","6",19,"Teenagers"
"Anne-marie","6",26,"Young Adults"
"Olivette","6",28,"Young Adults"
"Florrie","6",30,"Young Adults"
"Laurence","6",26,"Young Adults"
"Kaito","6",21,"Teenagers"
"Darleen","6",24,"Young Adults"
"Luci","6",40,"Middle-aged Adult"
"Kerianne","6",27,"Young Adults"
"Jean","6",35,"Middle-aged Adult"
"Harlie","5",18,"Teenagers"
"Adrienne","5",55,"Senior Adults"
"Brina","5",31,"Young Adults"
"Graehme","5",24,"Young Adults"
"Caroline","5",47,"Middle-aged Adult"
"Brena","5",57,"Senior Adults"
"Royall","5",26,"Young Adults"
"Julia","5",25,"Young Adults"
"Adrianna","5",23,"Young Adults"
"Leon","5",27,"Young Adults"
"Sella","5",63,"Senior Adults"
"Austina","5",29,"Young Adults"
"Milt","5",24,"Young Adults"
"Timi","5",22,"Teenagers"
"Randee","5",60,"Senior Adults"
"Armand","5",19,"Teenagers"
"Randall","5",28,"Young Adults"
"Ted","5",26,"Young Adults"
"Julie","5",60,"Senior Adults"
"Pepe","5",41,"Middle-aged Adult"
"Dulci","5",24,"Young Adults"
"Lanette","4",36,"Middle-aged Adult"
"Malinde","4",17,"Teenagers"
"Carole","4",33,"Young Adults"
"Fawn","4",59,"Senior Adults"
"Josefa","4",46,"Middle-aged Adult"
"Oby","4",22,"Teenagers"
"Kinsley","4",27,"Young Adults"
"Edna","4",30,"Young Adults"
"Nicky","4",36,"Middle-aged Adult"
"Grazia","4",40,"Middle-aged Adult"
"Belia","4",35,"Middle-aged Adult"
"Harmony","4",16,"Teenagers"
"Dino","4",30,"Young Adults"
"Olly","4",36,"Middle-aged Adult"
"Laureen","4",33,"Young Adults"
"Even","4",28,"Young Adults"
"Ollie","4",18,"Teenagers"
"Godwin","4",47,"Middle-aged Adult"
"Glenden","4",27,"Young Adults"
"Delilah","4",33,"Young Adults"
"Ax","4",25,"Young Adults"
"Beck","4",44,"Middle-aged Adult"
"Chandler","4",32,"Young Adults"
"Gilbertina","4",26,"Young Adults"
"Brit","4",16,"Teenagers"
"Jameson","4",36,"Middle-aged Adult"
"Lisetta","4",27,"Young Adults"
"Lay","4",44,"Middle-aged Adult"
"Marcelia","4",23,"Young Adults"
"Lorry","4",30,"Young Adults"
"Minni","4",39,"Middle-aged Adult"
"Linnea","4",33,"Young Adults"
"Liliane","4",18,"Teenagers"
"Nichol","4",26,"Young Adults"
